AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Status,Latitude,Longitude
127.0,Lào Cai,PM2.5,36.0,23.9,61.8,2.0,1.0,1001.1,56.0,127.0,23.0,24.5,1.0,2021-01-25 19:00:00,Unhealthy for sensitive groups,22.3221386,104.1214227
32.0,Hạ Long,PM2.5,5.0,24.65,95.7,18.0,16.0,1002.0,17.0,32.0,5.0,19.8,1.0,2021-01-25 19:00:00,Good,20.9416,107.1158
11.0,Quảng Ninh,PM2.5,5.0,24.0,95.7,29.0,6.5,1002.0,7.0,11.0,7.0,19.8,1.0,2021-01-25 18:00:00,Good,21.0357507,106.7641068
137.0,Bắc Ninh,PM2.5,5.0,22.0,77.0,46.0,3.0,1015.0,91.0,137.0,3.0,21.0,3.0,2021-01-25 19:00:00,Unhealthy for sensitive groups,21.1232473,106.2883295
116.0,Bắc Ninh,PM2.5,4.0,22.0,77.0,17.0,9.0,1015.0,66.0,116.0,5.0,21.0,3.8,2021-01-25 19:00:00,Unhealthy for sensitive groups,21.0272212,106.0342099
150.0,Hà Nội,PM2.5,51.0,22.0,77.0,48.0,2.0,1015.0,102.0,150.0,2.0,21.0,3.8,2021-01-25 18:00:00,Unhealthy for sensitive groups,21.03982,105.84726
106.0,Hà Nội,PM2.5,5.0,22.0,77.0,11.0,2.0,1015.0,66.0,106.0,2.0,21.0,3.8,2021-01-25 18:00:00,Unhealthy for sensitive groups,20.98832,105.854897
132.0,Hà Nội,PM2.5,13.0,22.0,77.0,26.0,2.0,1015.0,77.0,132.0,2.0,21.0,3.8,2021-01-25 18:00:00,Unhealthy for sensitive groups,21.01994,105.77056
145.0,Hà Nội,PM2.5,6.0,22.0,77.0,15.0,2.0,1015.0,84.0,145.0,1.0,21.0,3.8,2021-01-25 18:00:00,Unhealthy for sensitive groups,21.01525,105.80013
96.0,Đà Nẵng,CO,9.0,23.0,78.0,1.0,18.0,1014.0,25.0,32.0,6.0,23.0,1.5,2021-01-25 19:00:00,Moderate,16.074,108.217
147.0,Nha Trang,PM2.5,2.0,23.0,73.0,3.0,31.0,1013.0,42.0,54.0,3.0,24.0,5.1,2021-01-25 19:00:00,Unhealthy for sensitive groups,12.284358,109.192524
146.0,Hà Nội,PM2.5,15.0,22.0,77.0,24.0,2.0,1015.0,102.0,146.0,2.0,21.0,3.0,2021-01-25 18:00:00,Unhealthy for sensitive groups,21.02022,105.81232
108.0,Hà Nội,PM2.5,9.0,22.0,77.0,10.0,2.0,1015.0,61.0,108.0,2.0,21.0,3.8,2021-01-25 18:00:00,Unhealthy for sensitive groups,21.00577,105.74842
151.0,Hà Nội,PM2.5,17.0,22.0,77.0,23.0,2.0,1015.0,104.0,151.0,2.0,21.0,3.8,2021-01-25 18:00:00,Unhealthy,21.05121,105.78232
109.0,Hà Nội,PM2.5,8.0,22.0,77.0,18.0,2.0,1015.0,61.0,109.0,2.0,21.0,3.8,2021-01-25 18:00:00,Unhealthy for sensitive groups,21.0072,105.83572
185.0,Cao Bằng,PM10,5.0,23.7,73.4,1.0,1.0,985.6,185.0,174.0,1.0,22.6,2.0,2021-01-25 19:00:00,Unhealthy,22.6782,106.245
137.0,Hồ Chí Minh,PM2.5,5.0,25.0,62.0,10.0,6.5,1007.0,42.0,137.0,5.0,31.0,5.1,2021-01-26 16:00:00,Unhealthy for sensitive groups,10.782978,106.700711
130.0,Hà Nội,aqi,6.0,22.0,53.0,18.0,2.0,1014.0,49.0,65.0,2.0,25.0,4.1,2021-01-26 16:00:00,Unhealthy for sensitive groups,21.0811211,105.8180306
134.0,Hà Nội,PM2.5,0.1,22.0,53.0,10.1,4.5,1014.0,49.0,134.0,1.6,25.0,4.1,2021-01-26 16:00:00,Unhealthy for sensitive groups,21.0215063,105.8188748
26.0,Gia Lai,PM2.5,3.0,20.4,37.6,9.0,24.0,925.4,25.0,26.0,1.0,29.0,3.0,2021-01-26 16:00:00,Good,13.998599,107.996482
17.0,Thừa Thiên Huế,PM2.5,2.0,23.0,78.0,10.0,6.5,1014.0,21.0,17.0,5.0,24.0,3.6,2021-01-26 15:00:00,Good,16.46226,107.596351
126.0,Hà Nội,PM2.5,12.0,22.0,57.0,23.0,2.0,1014.0,87.0,126.0,2.0,24.5,3.8,2021-01-26 15:00:00,Unhealthy for sensitive groups,21.04975,105.74187
103.0,Lào Cai,PM2.5,42.0,23.9,76.7,3.0,1.0,1003.7,65.0,103.0,33.0,22.6,2.0,2021-01-26 16:00:00,Unhealthy for sensitive groups,22.3221386,104.1214227
44.0,Hạ Long,PM2.5,5.0,24.65,85.3,5.0,26.0,1002.9,23.0,44.0,5.0,23.2,1.0,2021-01-26 15:00:00,Good,20.9416,107.1158
20.0,Quảng Ninh,PM2.5,4.0,24.0,85.3,18.0,6.5,1002.9,12.0,20.0,7.0,23.2,1.0,2021-01-26 15:00:00,Good,21.0357507,106.7641068
75.0,Bắc Ninh,PM2.5,2.0,22.0,53.0,10.0,33.0,1014.0,55.0,75.0,2.0,25.0,4.1,2021-01-26 16:00:00,Moderate,21.1232473,106.2883295
92.0,Bắc Ninh,PM2.5,3.0,22.0,57.0,4.0,9.0,1014.0,59.0,92.0,3.0,24.5,3.8,2021-01-26 16:00:00,Moderate,21.0272212,106.0342099
117.0,Hà Nội,PM2.5,15.0,22.0,57.0,27.0,2.0,1014.0,82.0,117.0,2.0,24.5,3.8,2021-01-26 15:00:00,Unhealthy for sensitive groups,21.03982,105.84726
73.0,Hà Nội,PM2.5,4.0,22.0,57.0,11.0,2.0,1014.0,51.0,73.0,2.0,24.5,3.8,2021-01-26 15:00:00,Moderate,20.98832,105.854897
86.0,Hà Nội,PM2.5,6.0,22.0,57.0,25.0,2.0,1014.0,56.0,86.0,2.0,24.5,3.8,2021-01-26 15:00:00,Moderate,21.01994,105.77056
104.0,Hà Nội,PM2.5,5.0,22.0,57.0,22.0,3.0,1014.0,64.0,104.0,1.0,24.5,3.8,2021-01-26 14:00:00,Unhealthy for sensitive groups,21.01525,105.80013
93.0,Đà Nẵng,PM2.5,3.0,23.0,78.0,1.0,29.0,1014.0,25.0,32.0,6.0,24.0,4.6,2021-01-26 16:00:00,Moderate,16.074,108.217
